#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
11,"Say So","Doja Cat",73,111,"dance pop, pop","Pop","Hot Pink",2019-11-07,03:57,79,67,26,0,78,10,0,-5,B Minor,4,2024-11-09,3Dv1eDb0MEgF93GpLXlucZ,"Kemosabe Records/RCA Records",10A,USRC11903454
12,"I Hope (feat. Charlie Puth)","Gabby Barrett,Charlie Puth",56,75,"contemporary country, pop, viral pop","Country, Pop","Goldmine",2020-06-19,03:31,56,58,17,0,41,0,10,-6,F#/G♭ Major,4,2024-11-09,5cYFwgA5dHoqR3xGnlr9ew,"Warner Music Nashville",2B,USWB12000841
13,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow,Tory Lanez,DaBaby,Lil Wayne",64,145,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap, canadian hip hop, canadian trap, melodic rap, r&b, trap, north carolina hip hop, new orleans rap","Hip Hop, R&B","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",2020-06-24,03:47,90,72,6,0,84,20,10,-5,B Minor,4,2024-11-09,2MbdDtCv5LUVjYy9RuGTgC,"Generation Now/Atlantic",10A,USAT22003620
14,"Dance Monkey","Tones And I",72,98,"australian pop","Pop","Dance Monkey (Stripped Back) / Dance Monkey",2019-10-17,03:29,82,59,69,0,51,0,10,-6,F#/G♭ Minor,4,2024-11-09,2XU0oxnq2qxCpomAAuJY8K,"Elektra (NEK)",11A,QZES71982312
15,"Savage","Megan Thee Stallion",65,169,"houston rap, pop, rap, trap queen","Hip Hop, Pop, R&B","Suga",2020-03-06,02:35,84,74,3,0,68,30,10,-6,B Major,4,2024-11-09,55CHeLEfn5iJ0IIkgaa4si,"300 Entertainment",1B,QMCE32000097
16,"ROXANNE","Arizona Zervas",72,117,"indie pop rap, pop rap, rhode island rap","Hip Hop","ROXANNE",2019-10-10,02:43,62,60,5,0,46,10,40,-6,F#/G♭ Minor,5,2024-11-09,696DnlkuDOXcMAnKlTgXXK,"Arizona Zervas",11A,USSM11914320
17,"Intentions","Justin Bieber,Quavo",65,148,"canadian pop, pop, atl hip hop, melodic rap, rap, trap","Hip Hop, Pop","Intentions",2020-02-07,03:32,81,55,32,0,86,0,10,-7,A Major,4,2024-11-09,364dI1bYnvamSnBJ8JcNzN,"RBMG/Def Jam",11B,USUM72001302
18,"everything i wanted","Billie Eilish",81,120,"art pop, pop","Pop","everything i wanted",2019-11-13,04:05,70,23,90,66,24,10,10,-14,F#/G♭ Minor,4,2024-11-09,3ZCTVFBt2Brf31RLEnCkWJ,"Darkroom/Interscope Records",11A,USUM71922577
19,"Roses","SAINt JHN",55,102,"melodic rap, slap house","Hip Hop, Electronic","Collection One",2018-03-30,02:53,78,50,34,0,28,0,10,-6,F Minor,4,2024-11-09,47MhyGA0XUtF9lZJtny3Pd,"Craft Recordings",4A,TCACP1693236
20,"Watermelon Sugar","Harry Styles",82,95,"pop","Pop","Fine Line",2019-12-13,02:54,55,82,12,0,56,0,30,-4,C Major,4,2024-11-09,6UelLqGlWMcVH1E5c4H7lY,"Columbia",8B,USSM11912587
21,"Before You Go","Lewis Capaldi",81,112,"pop, uk pop","Pop","Divinely Uninspired To A Hellish Extent (Extended Edition)",2019-11-22,03:35,46,57,61,0,18,0,0,-5,D#/E♭ Major,4,2024-11-09,2gMXnyrvIjhVBUZwvLZDMP,"Vertigo Berlin",5B,DEUM71905868
22,"Falling","Trevor Daniel",67,127,"melodic rap","Hip Hop","Falling",2018-10-05,02:39,79,43,12,0,24,0,0,-9,A#/B♭ Minor,4,2024-11-09,26XaOsDMbl0e1cVKYfkz6w,"Alamo",3A,USUYG1221109
23,"10,000 Hours (with Justin Bieber)","Dan + Shay,Justin Bieber",70,90,"contemporary country, country, country road, canadian pop, pop","Pop, Country","10,000 Hours (with Justin Bieber)",2019-10-04,02:47,65,63,15,0,43,0,10,-5,A#/B♭ Major,4,2024-11-09,2wrJq5XKLnmhRXHIAf9xBa,"Warner Music Nashville",6B,USWB11902440
